Nr.;EAN;Beschreibung;Beschreibung 2;Hersteller Kurzbeschreibung;Lagerbestand;cena
15128804;8906117624332;REIFEN 280 / 70 R 18;114 A8 / 114 B, TL, FARMAX R70;CEAT;12;570,767442
15128805;8906117623076;REIFEN 650 / 85 R 38;173 D / 176 A8, TL, TORQUEMAX;CEAT;4;6843,034884
15128815;;;;;2;769,142857
15128820;8906117621751;REIFEN 320 / 70 R 24;116 A8 / B, TL, FARMAX R70;CEAT;24;742,941860
15128825;8906117621768;REIFEN 360 / 70 R 24;122 A8 / B, TL, FARMAX R70;CEAT;;
15128826;8906117621775;REIFEN 380 / 70 R 24;125 A8 / B, TL, FARMAX R70;CEAT;;
15128827;8906117624226;REIFEN 380 / 70 R 24;125 D, TL, FARMAX R70;CEAT;47;1075,139535
15128828;8906117621782;REIFEN 420 / 70 R 24;130 A8 / B, TL, FARMAX R70;CEAT;1;1179,616279
15128829;8906117624233;REIFEN 420 / 70 R 24;130 D, TL, FARMAX R70;CEAT;6;1275,593023
15128830;8906117621799;REIFEN 480 / 70 R 24;138 A8 / B, TL, FARMAX R70;CEAT;6;1512,418605
15128838;;;;;4;1151,142857
15128843;8906117624240;REIFEN 420 / 70 R 28;133 D, TL, FARMAX R70;CEAT;6;1423,674419
15128846;8906117621843;REIFEN 480 / 70 R 28;140 A8 / B, TL, FARMAX R70;CEAT;16;1639,313953
15128847;8906117621850;REIFEN 480 / 70 R 28;151 A8 / B, TL, FARMAX R70;CEAT;8;1784,430233
15128864;8906117621874;REIFEN 480 / 70 R 30;141 A8 / B, TL, FARMAX R70;CEAT;4;1699,988372
15128875;8906117621973;REIFEN 600 / 70 R 30;152 A8 / B, TL, FARMAX R70;CEAT;4;2848,837209
15128879;8906117621904;REIFEN 480 / 70 R 34;143 A8 / B, TL, FARMAX R70;CEAT;20;2050,732558
15128881;8906117621928;REIFEN 520 / 70 R 34;148 A8 / B, TL, FARMAX R70;CEAT;6;2413,965116
15128890;8906117621935;REIFEN 480 / 70 R 38;145 A8 / B, TL, FARMAX R70;CEAT;16;2271,220930
15128900;8906117621942;REIFEN 520 / 70 R 38;150 A8 / B, TL, FARMAX R70;CEAT;1;2995,139535
15128901;;;;;2;2785,500000
15128910;8906117621959;REIFEN 580 / 70 R 38;155 A8 / B, TL, FARMAX R70;CEAT;26;3286,918605
15128915;8906117621997;REIFEN 710 / 70 R 38;172 A8 / B, TL, FARMAX R70;CEAT;;
15128920;8906117623175;REIFEN 580 / 70 R 42;158 D / 161 A8, TL, FARMAX R70;CEAT;6;5665,197674
15128925;8906117622031;REIFEN 710 / 70 R 42;173 D, TL, FARMAX R70;CEAT;22;6145,918605
15131071;8906117620679;REIFEN 12.5 - 18;12 PR, 134 D, TL, MPT 602;CEAT;;
15131161;8906117620686;REIFEN 12.5 - 20;12 PR, 135 D, TL, MPT 602;CEAT;2;761,627907
15131210;8906117620716;REIFEN 405 / 70 - 20;14 PR, 148 D, TL, MPT 602;CEAT;;
15131212;;;;;8;1054,761905
15131233;;;;;20;1233,166667
15172115;8906117620617;REIFEN 12 - 16.5;12 PR, TL, LOADER HD;CEAT;4;394,837209
15172220;;;;;2;693,392857
15172442;8906117620808;REIFEN 18.4 - 26;12 PR, TL, TYROCK;CEAT;4;1577,837209
15172521;8906117620778;REIFEN 12.5 / 80 - 18;12 PR, 125 A8 / 138 A8 TL, TYROCK;CEAT;;
15172530;8906117620570;REIFEN 15.5 - 25;12 PR, TL, LOADER XL;CEAT;2;1183,779070
15172541;8906117620556;REIFEN 13.00 - 24;12 PR, TL, GRADER XL G2/L2;CEAT;4;940,813953
15172543;8906117620150;REIFEN 17.5 - 25;16 PR, TL, TRAC-XL;CEAT;4;1848,639535
15185312;8906117620846;REIFEN 460 / 70 R 24;159 A8 / B, TL, LIFT PRO;CEAT;42;1542,709302
15211600;8903635001508;REIFEN 6.5 / 80 - 15;6 PR, 98 A6 / 94 B, TT, AS, 324;ALLIANCE;5;141,226190
15211615;8903635012139;OPONA 10.0 / 75 - 15.3;10 PR, 129 A6 / 125 A8, TL, 320 VALUE PLUS;ALLIANCE;43;202,845238
15211616;8903635012597;REIFEN 10.0 / 75 - 15.3;14 PR, 136 A6 / 132 A8, TL, 320 VALUE PLUS;ALLIANCE;4;221,928571
15211621;8903635008798;REIFEN 10.0 / 75 - 15.3;18 PR, 135 A8, TL, AW 320;ALLIANCE;1;349,595238
15211631;8903635012146;REIFEN 11.5 / 80 - 15.3;14 PR, 145 A6 / 141 A8, TL, 320 VALUE PLUS;ALLIANCE;23;298,000000
